行政區,路權單位,申挖種類,工程類型,鋪面,修復管理費,路面修復費,施工期限_起,施工期限_止,施工面積,修復面積,施工地點
龜山區,工務局,一般,搶修,柏油,437,5180,104/12/26,104/12/27,5.46,14,龜山區楓樹里振興路233巷至振興233巷[振興路233巷口地下漏水]
龜山區,龜山區,一般,搶修,柏油,3200,51800,104/12/29,104/12/31,40,140,龜山區舊路里東舊路街118巷[內]
桃園區,桃園區,一般,搶修,柏油,160,12950,104/12/25,104/12/25,2,35,桃園區光興里中山北路96號至中山北96號[桃園區光興里中山北路96號]
八德區,八德區,一般,搶修,柏油,289,11100,104/12/24,104/12/25,3.61,30,八德區白鷺里廣福路1357巷325號至廣福路1357巷330號[八德區廣福路1357巷325號]
龍潭區,工務局,一般,搶修,柏油,112,3238,104/12/25,104/12/26,1.4,8.75,龍潭區里縣道：113號(線)道路27公里+211公尺至27公里+211公尺[中正路242-1號-手孔提升(nl2497096)]
觀音區,工務局,一般,搶修,柏油,270,5828,104/12/24,104/12/25,3.38,15.75,觀音區里鄉道：桃89號(線)道路3公里+0公尺至3公里+0公尺[仁愛路二段168號前]
大溪區,大溪區,一般,搶修,柏油,200,3330,104/12/24,104/12/24,2.5,9,大溪區三元里齋明路38巷89號[大溪區齋明街38巷89號]
桃園區,工務局,一般,搶修,柏油,240,9065,104/12/24,104/12/25,3,24.5,桃園區北門里民生路522號至民生522號[桃園區北門里民生路522號]
桃園區,桃園區,一般,搶修,柏油,192,9065,104/12/24,104/12/25,2.4,24.5,桃園區成功里中央街107號至中央街107號[桃園區成功里中央街107號]
龜山區,龜山區,一般,搶修,柏油,2160,34965,104/12/24,104/12/25,27,94.5,龜山區山頂里山鶯路292號[旁巷內修理管道汰換光纜(山鶯路290號台達電公司寬頻網路不良需修管汰換光纜改善)]
楊梅區,工務局,一般,搶修,柏油,160,6475,104/12/26,104/12/27,2,17.5,楊梅區里鄉道：桃110號(線)道路7公里+79公尺至7公里+81公尺[桃園市楊梅區民富路一段686巷及對面796巷之間涵管阻塞不通]
新屋區,工務局,一般,搶修,柏油,112,6475,104/12/23,104/12/24,1.4,17.5,新屋區里鄉道：桃100號(線)道路3公里+190公尺至3公里+190公尺[新屋區民生街員笨47之5號]
大園區,工務局,一般,搶修,柏油,304,7122,104/12/23,104/12/24,3.8,19.25,大園區里縣道：113號(線)道路0公里+500公尺至0公里+503公尺[中華路637號]
中壢區,中壢區,一般,搶修,柏油,472,8732,104/12/23,104/12/23,5.9,23.6,中壢區水尾里興忠街73號[水尾里興忠街73號前]
桃園區,工務局,一般,搶修,柏油,720,11655,104/12/24,104/12/26,9,31.5,桃園區春日里大興西路1段6號至大興西1段8號[修理管道汰換電纜(本處大興西路上3200對電纜破損嚴重漏氣，正常氣壓9磅以上，現電纜破損漏氣氣壓只剩2.6磅，需緊急修管汰換電纜，避免電纜進水影響約2800戶電話網路通訊品質)]
新屋區,工務局,一般,搶修,柏油,384,4532,104/12/22,104/12/23,4.8,12.25,新屋區石牌里鄉道：桃96號(線)道路3公里+750公尺至3公里+750公尺[新屋區永慶二路413號後方]
新屋區,工務局,一般,搶修,柏油,896,28490,104/12/24,104/12/27,11.2,77,新屋區里鄉道：桃109號(線)道路1公里+561公尺至1公里+998公尺[新屋區中興路553號~699號(手孔提升微創8座)]
中壢區,工務局,一般,搶修,柏油,160,5310,104/12/22,104/12/22,2,14.35,中壢區五福里中正路531號[五福里中正路531號前]
蘆竹區,工務局,一般,新設,柏油,384,8547,104/12/25,104/12/28,4.8,23.1,蘆竹區大竹里鄉道：桃6號(線)道路0公里+340公尺至0公里+340公尺[邊2戶]
桃園區,工務局,一般,搶修,柏油,707,10360,104/12/21,104/12/23,8.84,28,桃園區中和里中山路42號至永樂街[桃園區中山路42號與永樂街口]
蘆竹區,工務局,一般,搶修,柏油,640,11655,104/12/22,104/12/23,8,31.5,蘆竹區長榮里長榮路至榮安[蘆竹區長榮路與榮安路口等2處]
龍潭區,工務局,一般,搶修,柏油,112,4532,104/12/22,104/12/23,1.4,12.25,龍潭區里鄉道：桃66-1號(線)道路0公里+140公尺至0公里+140公尺[金龍路60巷口-手孔提升(nl2497169)]
桃園區,桃園區,一般,檢修,柏油,14720,493580,104/12/28,104/12/31,184,1334,桃園區中和里北興路1號至61號[如附圖]
大溪區,大溪區,一般,搶修,柏油,160,2960,104/12/21,104/12/21,2,8,大溪區三元里齋明街38巷99號[大溪區齋明街38巷99號]
蘆竹區,工務局,一般,搶修,柏油,1385,21460,104/12/21,104/12/22,17.31,58,蘆竹區里鄉道：桃2號(線)道路0公里+10公尺至0公里+10公尺[蘆竹區六福路與南山路一段口]
桃園區,桃園區,一般,搶修,柏油,736,5180,104/12/21,104/12/22,9.2,14,桃園區明德里莊一街至中埔七街[桃園區莊一街中埔七街口]
桃園區,桃園區,一般,搶修,柏油,1088,7696,104/12/21,104/12/22,13.6,20.8,桃園區中正里壽星街18號至壽星街18號[桃園區壽星街18號]
桃園區,桃園區,一般,搶修,柏油,536,5920,104/12/21,104/12/22,6.7,16,桃園區大有里大有路至寶山街37號[桃園區大有路寶山街37號口]
中壢區,中壢區,一般,搶修,柏油,172,5920,104/12/21,104/12/22,2.15,16,中壢區內厝里中正路3段220巷175號至中正路3段220巷175號[中壢區中正路三段220巷175號]
中壢區,中壢區,一般,搶修,柏油,494,5920,104/12/21,104/12/22,6.18,16,中壢區幸福里福星一街73號至福星一街73號[中壢區福星一街73號]
中壢區,工務局,一般,新設,柏油,2112,0,104/12/29,105/01/01,26.4,0,中壢區芝芭里縣道：113號(線)道路11公里+225公尺至11公里+242公尺[中壢區中豐北路二段、文興路口處。]
大溪區,大溪區,一般,搶修,柏油,260,6660,104/12/21,104/12/21,3.25,18,大溪區南興里仁和路二段109巷31號[大溪區仁和路二段109巷31號]
中壢區,中壢區,一般,新設,柏油,480,21904,104/12/27,105/01/01,6,59.2,中壢區過嶺里福嶺路399號[旁(中壢區高鐵南路五段，台31線14K+600路口處)。]
觀音區,工務局,一般,搶修,柏油,324,5180,104/12/19,104/12/20,4.05,14,觀音區里鄉道：桃83號(線)道路5公里+510公尺至5公里+510公尺[觀音區新富路一段1240號對面]
平鎮區,工務局,一般,搶修,柏油,960,17482,104/12/19,104/12/21,12,47.25,平鎮區里縣道：112號(線)道路20公里+350公尺至20公里+650公尺[4040814號工程施工，平鎮區環南路三段125號、223號、228號附近，配合市府路面即將加封。]
中壢區,工務局,一般,搶修,柏油,173,5180,104/12/18,104/12/18,2.16,14,中壢區里縣道：114號(線)道路23公里+400公尺至23公里+400公尺[中壢區中山東路一段224號旁]
中壢區,工務局,一般,搶修,柏油,210,10360,104/12/18,104/12/19,2.62,28,中壢區光明里新明路至明德路[中壢區新明路與明德路口]
八德區,工務局,一般,搶修,柏油,480,4532,104/12/21,104/12/23,6,12.25,八德區里縣道：110乙號(線)道路1公里+270公尺至1公里+275公尺[配合110乙線拓寬工程需修管遷移管線(和平路970巷口左側對面福德一路快車道)]
桃園區,桃園區,一般,搶修,柏油,400,5180,104/12/18,104/12/19,5,14,桃園區西湖里育樂街至復興380號[桃園區育樂街與復興路口]
桃園區,桃園區,一般,搶修,柏油,1024,33300,104/12/18,104/12/19,12.8,90,桃園區信光里大連二街24號至大連二街24號[桃園區信光里大連二街24號]
龜山區,龜山區,一般,搶修,柏油,180,1942,104/12/18,104/12/19,2.25,5.25,龜山區文化里復興街230號至復興街230號[地下漏水]
八德區,工務局,一般,搶修,柏油,112,3885,104/12/26,104/12/27,1.4,10.5,八德區興仁里中正路142號[八德區興仁里中正路142號]
蘆竹區,工務局,一般,搶修,柏油,208,5180,104/12/17,104/12/18,2.6,14,蘆竹區里縣道：110號(線)道路9公里+950公尺至9公里+950公尺[蘆竹區大竹路418號]
大園區,大園區,一般,搶修,柏油,400,6771,104/12/17,104/12/18,5,18.3,大園區海口里三民路一段151號[旁巷子]
大園區,大園區,一般,搶修,柏油,240,7592,104/12/17,104/12/18,3,20.52,大園區五權里五福路190號[前]
八德區,八德區,一般,搶修,柏油,416,11100,104/12/17,104/12/18,5.2,30,八德區大發里富榮街15號至富榮街15號[八德區富榮街15號前]
桃園區,桃園區,一般,搶修,柏油,296,10360,104/12/17,104/12/18,3.7,28,桃園區汴洲里春日路1434巷123號至春日1434巷158號[桃園區春日路1434巷123號前]
龜山區,工務局,一般,搶修,柏油,384,16292,104/12/20,104/12/22,4.8,12.25,龜山區里縣道：105號(線)道路12公里+400公尺至12公里+402公尺[龜山區忠義路二段與大湖一路口]
桃園區,桃園區,一般,搶修,柏油,768,7770,104/12/16,104/12/17,9.6,21,桃園區福林里樹仁三街536巷12號至樹仁三街536巷35號[桃園區樹仁三街536巷12號與35號2處]
中壢區,中壢區,一般,搶修,柏油,160,11100,104/12/16,104/12/17,2,30,中壢區內厝里中正路239巷58號至中正路239巷58號[中壢區中正路2段239巷58號]
龜山區,龜山區,一般,搶修,柏油,192,2590,104/12/16,104/12/17,2.4,7,龜山區公西里復興街永樂巷11號至復興街永樂巷11號[龜山區復興街永樂巷11號]
中壢區,工務局,一般,搶修,柏油,224,9065,104/12/17,104/12/18,2.8,24.5,中壢區里鄉道：桃74號(線)道路0公里+615公尺至0公里+900公尺[中壢區龍東路10號前及132號前(纜線故障維修-手孔提升2座)]
龜山區,龜山區,一般,搶修,柏油,192,2528,104/12/17,104/12/18,2.4,6.83,龜山區山德里興一街10巷2號至興一街10巷2號[地下漏水]
中壢區,工務局,一般,搶修,柏油,320,4662,104/12/18,104/12/21,4,12.6,中壢區里鄉道：桃45號(線)道路11公里+142公尺至11公里+142公尺[中壢區民權路392巷口。DCIS：4090167。]
龜山區,龜山區,一般,搶修,柏油,192,1942,104/12/17,104/12/18,2.4,5.25,龜山區公西里復興街133號至復興街133號[龜山區復興街133號前地下漏水]
蘆竹區,工務局,一般,搶修,柏油,1034,14060,104/12/16,104/12/17,12.92,38,蘆竹區里鄉道：桃15號(線)道路2公里+200公尺至2公里+200公尺[蘆竹區富國路二段531巷口對面]
龜山區,工務局,一般,搶修,柏油,163,5180,104/12/16,104/12/17,2.04,14,龜山區龜山里頂湖路32號至頂湖32號[地下漏水]
桃園區,桃園區,一般,搶修,柏油,80,5180,104/12/16,104/12/17,1,14,桃園區中原里宏昌十三街526號至宏昌十三街526號[桃園區中原理宏昌十三街526號]
中壢區,中壢區,一般,搶修,柏油,280,3552,104/12/16,104/12/16,3.5,9.6,中壢區中榮里延平路606巷內號[中榮里延平路608號旁]
桃園區,桃園區,一般,搶修,柏油,1680,23310,104/12/15,104/12/16,21,63,桃園區中正里守法路19號至守法19號[桃園區中正里守法路19號]
龍潭區,工務局,一般,搶修,柏油,112,3238,104/12/16,104/12/17,1.4,8.75,龍潭區里縣道：113號(線)道路28公里+224公尺至28公里+224公尺[中正路625號旁-人孔提升(nl2457670)]
桃園區,工務局,一般,搶修,柏油,238,4532,104/12/15,104/12/16,2.97,12.25,桃園區里鄉道：桃15號(線)道路4公里+680公尺至4公里+680公尺[桃園區中埔里富國路859號]
龍潭區,龍潭區,一般,搶修,柏油,700,5920,104/12/15,104/12/15,8.75,16,龍潭區烏林里中豐路670巷10弄1號[龍潭區中豐路670巷10弄1號]
中壢區,工務局,一般,搶修,柏油,269,6475,104/12/15,104/12/16,3.36,17.5,中壢區里縣道：114號(線)道路21公里+60公尺至21公里+60公尺[中壢區民族路與忠孝路口]
中壢區,中壢區,一般,搶修,柏油,336,6216,104/12/15,104/12/15,4.2,16.8,中壢區五福里五光三街122號[五福里五光三街122號前]
龜山區,龜山區,一般,搶修,柏油,240,3238,104/12/15,104/12/16,3,8.75,龜山區龜山里茶磚路至幸美街[地下漏水]
龜山區,龜山區,一般,搶修,柏油,708,3274,104/12/15,104/12/16,8.85,8.85,龜山區龜山里和平街57號至和平街57號[地下漏水]
龜山區,龜山區,一般,搶修,柏油,864,5180,104/12/15,104/12/16,10.8,14,龜山區龜山里永吉街49號至永吉街49號[地下漏水]
中壢區,工務局,一般,搶修,柏油,134,6604,104/12/15,104/12/15,1.68,17.85,中壢區里縣道：114號(線)道路21公里+680公尺至21公里+380公尺[中壢區舊明里中山路377號與402號前]
中壢區,中壢區,一般,搶修,柏油,86,2960,104/12/15,104/12/15,1.08,8,中壢區中榮里中原路54巷17號[中榮里中原路54巷17號前]
八德區,八德區,一般,搶修,柏油,333,12950,104/12/15,104/12/16,4.16,35,八德區大和里建國路972巷73號至建國路972巷73號[八德區大和里建國路972巷73號前]
八德區,工務局,一般,搶修,柏油,2880,18130,104/12/16,104/12/18,36,49,八德區大湳里和強路18號至和強路60-1號[八德區和強路18至60-1號]
龜山區,工務局,一般,孔蓋昇降,柏油,360,10360,104/12/28,104/12/31,4.5,28,龜山區大湖里文化二路32-10號[及34巷14弄巷口]
中壢區,工務局,一般,搶修,柏油,436,10080,104/12/14,104/12/15,5.451,10.5,中壢區里縣道：114號(線)道路20公里+90公尺至20公里+90公尺[平鎮區民族路二段183號]
龍潭區,工務局,一般,搶修,柏油,500,7122,104/12/18,104/12/18,6.25,19.25,龍潭區中山里東龍路334號[龍潭區東龍路334號前]
龜山區,龜山區,一般,搶修,柏油,512,5180,104/12/14,104/12/15,6.4,14,龜山區山德里山鶯路將軍巷36號至山鶯路將軍巷36號[龜山區山鶯路將軍巷36號]
中壢區,中壢區,一般,搶修,柏油,308,5550,104/12/14,104/12/15,3.85,15,中壢區東興里龍岡路1段176巷1號至龍岡路1段176巷1號[中壢區龍岡路一段176巷1號]
龍潭區,工務局,一般,搶修,柏油,112,2590,104/12/16,104/12/17,1.4,7,龍潭區里鄉道：桃66-1號(線)道路0公里+100公尺至0公里+100公尺[金龍路新龍路口-手孔提升(nl2497169)]
中壢區,工務局,一般,搶修,柏油,270,2590,104/12/14,104/12/15,3.38,7,中壢區里縣道：114號(線)道路26公里+670公尺至26公里+670公尺[中壢區中山東路四段與光明路一段路口]
龜山區,龜山區,一般,搶修,柏油,952,9065,104/12/14,104/12/15,11.9,24.5,龜山區中興里壽德街10號至壽福街[地下漏水]
桃園區,工務局,一般,搶修,柏油,240,4532,104/12/14,104/12/15,3,12.25,桃園區里縣道：110號(線)道路14公里+880公尺至14公里+880公尺[桃園市永安里永安路200巷口]
中壢區,中壢區,一般,搶修,柏油,282,5920,104/12/12,104/12/13,3.52,16,中壢區東興里新興路242號至新興路242號[中壢區新興路242號旁]
大園區,大園區,一般,搶修,柏油,240,3848,104/12/12,104/12/13,3,10.4,大園區圳頭里中華路551巷20號[前]
桃園區,桃園區,一般,搶修,柏油,320,11655,104/12/11,104/12/11,4,31.5,桃園區中和里北新街59號至北新街59號[桃園區中和里北新街59號]
龜山區,工務局,一般,搶修,柏油,648,10360,104/12/11,104/12/12,8.1,28,龜山區龜山里大同路120巷至大同路120巷[地下漏水]
大溪區,大溪區,一般,搶修,柏油,198,8600,104/12/11,104/12/11,2.47,2,大溪區福仁里和平路80號[大溪區和平路80號]
大溪區,工務局,一般,搶修,柏油,180,2590,104/12/14,104/12/14,2.25,7,大溪區里鄉道：桃60號(線)道路0公里+775公尺至0公里+775公尺[大溪區大鶯路1393號]
桃園區,桃園區,一般,搶修,柏油,168,7770,104/12/11,104/12/12,2.1,21,桃園區東埔里正康二街92號至大華七街[桃園區正康二街92號大華七街口]
大溪區,工務局,一般,搶修,柏油,160,5180,104/12/11,104/12/11,2,14,大溪區三元里鄉道：桃64號(線)道路4公里+50公尺至4公里+52公尺[大溪區三元一街國防大學門前)]
中壢區,工務局,一般,搶修,柏油,576,7770,104/12/11,104/12/11,7.2,21,中壢區里縣道：112號(線)道路21公里+650公尺至21公里+650公尺[中壢區龍岡路二段271號前]
中壢區,中壢區,一般,搶修,柏油,448,13320,104/12/10,104/12/11,5.6,36,中壢區月眉里圓光一路366巷56弄58號至圓光一路366巷56弄58號[中壢區圓光一路366巷56弄58號]
八德區,工務局,一般,搶修,柏油,607,5180,104/12/10,104/12/11,7.59,14,八德區里縣道：114號(線)道路29公里+200公尺至29公里+200公尺[八德區長興路與長興二路交叉口]
龜山區,龜山區,一般,搶修,柏油,256,2590,104/12/10,104/12/11,3.2,7,龜山區楓樹里豐榮街2號至豐榮街2號[龜山區豐榮街2號(地下式消防栓埋設換新)]
中壢區,工務局,一般,新設,柏油,0,0,104/12/12,104/12/15,0,0,中壢區芝芭里公園路1段至公園1段[高鐵南路2段及公園路1段口(台灣燈會多元交流燈區離島燈區範圍)]
龍潭區,工務局,一般,搶修,柏油,112,4532,104/12/11,104/12/12,1.4,12.25,龍潭區里鄉道：桃75號(線)道路3公里+676公尺至3公里+676公尺[成功路336號-人孔提升(NL2457833)]
楊梅區,工務局,一般,搶修,柏油,448,14245,104/12/28,104/12/29,5.6,38.5,楊梅區里鄉道：桃79號(線)道路4公里+19公尺至5公里+935公尺[梅高路351號、梅高路高獅路口、梅高路99巷口、梅高路4號附近-人孔提升(NL2457790)]
龍潭區,工務局,一般,搶修,柏油,224,9065,104/12/11,104/12/12,2.8,24.5,龍潭區里鄉道：桃73號(線)道路4公里+950公尺至4公里+358公尺[聖亭路八德段211號旁、443號前-人孔提升(nl2457808)]
桃園區,工務局,一般,新設,柏油,0,0,104/12/31,105/01/02,0,0,桃園區寶慶里南平路472號至南平487號[桃園區寶慶里南平路472號至487號]
楊梅區,工務局,一般,搶修,柏油,176,4532,104/12/09,104/12/10,2.2,12.25,楊梅區里縣道：115號(線)道路11公里+600公尺至11公里+600公尺[楊梅區楊新路四段287巷口]
中壢區,工務局,一般,孔蓋昇降,柏油,960,22792,104/12/29,104/12/31,12,61.6,中壢區青埔里高鐵南路一段至高鐵南二段[公園路兩側。]
龜山區,工務局,一般,孔蓋昇降,柏油,320,15540,104/12/17,104/12/20,4,42,龜山區山德里鄉道：桃10號(線)道路0公里+430公尺至0公里+620公尺[龜山區山鶯路153~176號前]
八德區,工務局,一般,搶修,柏油,288,9065,104/12/10,104/12/11,3.6,24.5,八德區里鄉道：桃57號(線)道路1公里+623公尺至1公里+638公尺[和平路和強路口至和強路58號NL1440964]
大溪區,大溪區,一般,搶修,柏油,240,3885,104/12/09,104/12/09,3,10.5,大溪區仁愛里埔頂一街83巷21號[大溪區埔頂一街83巷21號對面]
中壢區,工務局,一般,搶修,柏油,468,10360,104/12/09,104/12/09,5.85,28,中壢區里縣道：114號(線)道路21公里+700公尺至21公里+700公尺[中壢區中山路365號]
八德區,八德區,一般,新設,柏油,192,14800,104/12/28,104/12/31,2.4,40,八德區大福里天祥街17號[無]
龜山區,龜山區,一般,搶修,柏油,343,5050,104/12/08,104/12/09,4.29,13.65,龜山區龜山里壽德街10號至壽德街10號[地下漏水]
大溪區,大溪區,一般,搶修,柏油,300,3330,104/12/08,104/12/08,3.75,9,大溪區美華里坑底31號[大溪區美華里17鄰坑底31號]
蘆竹區,工務局,一般,搶修,柏油,144,2590,104/12/16,104/12/16,1.8,7,蘆竹區長興里長興路4段29號[微創工法開啟手孔維修電纜(電纜浸水造成長興路4段29號寬頻網路不通須開啟手孔維修，mail住戶網路不通申訴單供參考)]
龜山區,工務局,一般,搶修,柏油,819,10360,104/12/08,104/12/09,10.24,28,龜山區龜山里鄉道：桃7號(線)道路6公里+550公尺至6公里+550公尺[龜山區振興路229巷口]
中壢區,中壢區,一般,新設,柏油,128,7680,104/12/14,104/12/18,1.6,8,中壢區青埔里致成路與號[青埔路2段交叉口]
中壢區,中壢區,一般,新設,柏油,128,7680,104/12/14,104/12/18,1.6,8,中壢區恰溪里永能路39-1號[旁]
中壢區,中壢區,一般,搶修,柏油,541,11100,104/12/07,104/12/07,6.76,30,中壢區仁愛里榮民南路260巷7號至榮民南路260巷7號[中壢區榮民南路260巷7號]
新屋區,工務局,一般,搶修,柏油,816,4532,104/12/07,104/12/08,10.2,12.25,新屋區新屋里縣道：115號(線)道路7公里+920公尺至7公里+920公尺[新屋區新屋里中華路239號]
桃園區,桃園區,一般,搶修,柏油,512,7770,104/12/07,104/12/08,6.4,21,桃園區建國里建國路74號至建成街[桃園區建國路74號]
桃園區,桃園區,一般,搶修,柏油,304,5180,104/12/07,104/12/08,3.8,14,桃園區東山里安東街52-10號至安東街52-10號[桃園區安東街52-10號]
大園區,大園區,一般,新設,柏油,160,7326,104/12/21,104/12/24,2,19.8,大園區橫峰里中山南路1段277巷9弄9號[路面加封=4.4*4.5=19.8]
中壢區,中壢區,一般,搶修,柏油,560,10360,104/12/07,104/12/07,7,28,中壢區篤行里新中北路2段525-1號至新中北路2段525-1號[中壢區新中北路二段525-1號]
龜山區,龜山區,一般,搶修,柏油,882,12328,104/12/07,104/12/08,11.03,33.32,龜山區龜山里楓樹六街48號至楓樹六街48號[地下漏水]
龜山區,龜山區,一般,搶修,柏油,1148,11862,104/12/07,104/12/08,14.35,32.06,龜山區龜山里楓樹七街41號至楓樹七街45號[地下漏水]
桃園區,桃園區,一般,搶修,柏油,408,5180,104/12/07,104/12/08,5.1,14,桃園區中山里泰昌十二街133號至泰昌十二街133號[桃園區泰昌十二街133號]
桃園區,桃園區,一般,搶修,柏油,624,5180,104/12/05,104/12/06,7.8,14,桃園區泰山里泰山街1號至中山507巷[桃園區泰山街1號與中山路507巷口]
楊梅區,工務局,一般,搶修,柏油,10280,0,104/12/09,104/12/13,128.5,0,楊梅區里縣道：115號(線)道路15公里+483公尺至15公里+610公尺[楊梅區楊新路(梅高路~大模街間)(管道內電纜漏氣嚴重加管換纜工程)]
楊梅區,楊梅區,一般,搶修,柏油,1360,38665,104/12/09,104/12/13,17,104.5,楊梅區楊梅里大模街5號至大模街5號[旁(管道內電纜漏氣嚴重加管換纜工程)]
龜山區,龜山區,一般,搶修,柏油,312,3367,104/12/04,104/12/05,3.9,9.1,龜山區龜山里壽山路162巷1號至壽山路162巷1號[地下漏水]
中壢區,工務局,一般,新設,柏油,896,0,104/12/09,104/12/12,11.2,0,中壢區青埔里高鐵站前東路[桃園市中壢區青埔里高鐵站前東路近青山路口]
中壢區,工務局,一般,新設,柏油,448,0,104/12/09,104/12/12,5.6,0,中壢區青埔里高鐵站前西路一段212號[桃園市中壢區青埔里高鐵站前西路一段212號對面]
中壢區,工務局,一般,新設,柏油,2816,0,104/12/11,104/12/14,35.2,0,中壢區洽溪里高鐵南路二段[桃園市中壢區洽溪里高鐵南路二段近公園路一段口]
中壢區,工務局,一般,新設,柏油,672,0,104/12/09,104/12/12,8.4,0,中壢區青埔里縣道：113丙號(線)道路0公里+558公尺至0公里+559公尺[桃園市中壢區青埔里青埔路一段近高鐵南路一段]
桃園區,桃園區,一般,搶修,柏油,848,12950,104/12/04,104/12/05,10.6,35,桃園區壽星里壽星街16號至信陽街1號[桃園區壽星街16號與信陽街1號共2處]
中壢區,工務局,一般,新設,柏油,1408,0,104/12/09,104/12/12,17.6,0,中壢區青埔里青心路[桃園市中壢區青埔里青心路近青山路口]
中壢區,工務局,一般,新設,柏油,896,0,104/12/09,104/12/12,11.2,0,中壢區青埔里青山路[桃園市中壢區青埔里青山路近青心路口]
中壢區,中壢區,一般,新設,柏油,448,10360,104/12/19,104/12/23,5.6,28,中壢區洽溪里永發路[桃園市中壢區洽溪里永發路近公園路二段口]
中壢區,工務局,一般,新設,柏油,448,0,104/12/09,104/12/12,5.6,0,中壢區芝芭里鄉道：桃45號(線)道路6公里+0公尺至6公里+1公尺[桃園市中壢區芝芭里民權路四段近洽溪路口]
中壢區,工務局,一般,新設,柏油,576,0,104/12/09,104/12/12,7.2,0,中壢區洽溪里文德路[桃園市中壢區洽溪里文德路近洽溪路口]
大園區,工務局,一般,新設,柏油,576,0,104/12/09,104/12/12,7.2,0,大園區橫峰里致善路二段[桃園市大園區橫峰里致善路二段近洽溪路口]
大園區,工務局,一般,新設,柏油,448,0,104/12/09,104/12/12,5.6,0,大園區橫峰里致祥二街至致祥二街[大園區橫峰里致祥二街近高鐵南路一段]
蘆竹區,工務局,一般,搶修,柏油,358,5180,104/12/04,104/12/05,4.48,14,蘆竹區上興里上興路418號至上興路418號[蘆竹區上興里上興路418號旁]
龍潭區,龍潭區,一般,新設,柏油,120,6660,104/12/15,104/12/16,1.5,18,龍潭區龍祥里干城路250號[龍祥里]
龜山區,工務局,一般,孔蓋昇降,柏油,180,5180,104/12/28,104/12/31,2.25,14,龜山區文化里文化二路30-5號[旁]
